Tariff item number,,,Description of goods,Product specific rules
,15.22,1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,CTH
"Section IV Prepared foodstuffs; beverages, spirits and vinegar; tobacco and
 manufactured tobacco substitutes (Chapter 16-24)",,,,
Chapter 16,,,"Preparations of meat, of fish or of crustaceans, mollusks or other aquatic invertebrates",
,16.01,1601,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products.",CC except from Chapter 1 or 2.
,16.02,,"Other prepared or preserved meat, meat offal or blood.",
,,1602.1,- Homogenized preparations,CC except from
,,,,
,,,,Chapter 1 or 2.
,,1602.2,- Of liver of any animal,CC except from Chapter 1 or 2.
,,,- Of poultry of heading 01.05:,
,,1602.31,-- Of turkeys,CC except from Chapter 1 or 2.
,,1602.32,-- Of fowls of the species Gallus domesticus,CC
,,1602.39,-- Other,CC
,,,- Of swine:,
,,1602.41,-- Hams and cuts thereof,CC except from Chapter 1 or 2.
,,1602.42,-- Shoulders and cuts thereof,CC except from Chapter 1 or 2.
,,1602.49,"-- Other, including mixtures",CC except from Chapter 1 or 2.
,,1602.5,- Of bovine animals,CC except from Chapter 1 or 2.
,,1602.9,"- Other, including preparations of blood of any animal",CC
,16.03,1603,"Extracts and juices of meat, fish or crustaceans, mollusks or other aquatic invertebrates.",CC
,16.04,,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs.,
,,,"- Fish, whole or in pieces, but not minced:",
,,1604.11,-- Salmon,CC except from Chapter 3.
,,1604.12,-- Herrings,CC except from Chapter 3.
,,1604.13,"-- Sardines, sardinella and brisling or sprats",CC except from Chapter 3.
,,1604.14,"-- Tunas, skipjack and bonito (Sarda spp.)",CC except from Chapter 3.
,,1604.15,-- Mackerel,CC except from Chapter 3.
,,1604.16,-- Anchovies,CC except from Chapter 3.
,,1604.19,-- Other,CC except from Chapter 3.
,,1604.2,- Other prepared or preserved fish,CC except from Chapter 3.
,,1604.3,- Caviar and caviar substitutes,CC
,16.05,,"Crustaceans, mollusks and other aquatic invertebrates, prepared or preserved.",
,,1605.1,- Crab,CC except from Chapter 3.
,,1605.2,- Shrimps and prawns,CC
,,1605.3,- Lobster,CC except from
,,,,
,,,,Chapter 3.
,,1605.4,- Other crustaceans,CC
,,1605.9,- Other,CC except from Chapter 3.
Chapter 17,,,Sugars and sugar confectionery,
,17.01,,"Cane or beet sugar and chemically pure sucrose, in solid form.",CC except from Chapter 12.
,17.02,,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavoring or coloring matter; artificial honey, whether or not mixed with natural honey; caramel.",
,,,- Lactose and lactose syrup:,
,,1702.11,"-- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",CC except from Chapter 4.
,,1702.19,-- Other,CC except from Chapter 4.
,,1702.2,- Maple sugar and maple syrup,CC
,,1702.3,"- Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",CC
,,1702.4,"- Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose,
 excluding invert sugar",CC
,,1702.5,- Chemically pure fructose,CC except from Chapter 11 or 12.
,,1702.6,"- Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",CC except from Chapter 11 or 12.
,,1702.9,"- Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by
 weight of fructose",CC
,17.03,,Molasses resulting from the extraction or refining of sugar.,CC except from Chapter 12.
,17.04,,"Sugar confectionery (including white chocolate), not containing cocoa.",CC
Chapter 18,,,Cocoa and cocoa preparations,CC
Chapter 19,,,"Preparations of cereals, flour, starch or milk; pastrycooks’ products",
,19.01,,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40 % by weight of cocoa calculated on a totally defatted",CC
,,,,
,,,"basis, not elsewhere specified or included; food preparations of goods of headings 04.01 to 04.04, not containing cocoa or containing less than 5 % by weight of cocoa calculated on a totally defatted basis, not elsewhere specified of included.",
,19.02,,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.",CC
,19.03,1903,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.",CC except from Chapter 11.
,19.04,,"Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked or otherwise prepared, not elsewhere specified or included.",CC
,19.05,,"Bread, pastry, cakes, biscuits and other bakers’ wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",
,,1905.1,- Crispbread,CC except from Chapter 11.
,,1905.2,- Gingerbread and the like,CC except from Chapter 11.
,,,- Sweet biscuits; waffles and wafers:,
,,1905.31,-- Sweet biscuits,CC
,,1905.32,-- Waffles and wafers,CC
,,1905.4,"- Rusks, toasted bread and similar toasted products",CC except from Chapter 11.
,,1905.9,- Other,CC except from Chapter 11.
Chapter 20,,,"Preparations of vegetables, fruit, nuts or other parts of plants",
,20.01,,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid.",CC except from Chapter 7 or 8.
,20.02,,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid.,CC except from Chapter 7.
,20.03,,"Mushrooms and truffles, prepared or",CC except from
,,,,
,,,preserved otherwise than by vinegar or acetic acid.,Chapter 7.
,20.04,,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.",CC except from Chapter 7.
,20.05,,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",CC except from Chapter 7.
,20.06,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by
 sugar (drained, glacé or crystallized).",CC except from Chapter 7 or 8.
,20.07,,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.",
,,2007.1,- Homogenized preparations,CC except from Chapter 8.
,,,- Other:,
,,2007.91,-- Citrus fruit,CC except from Chapter 8.
,,2007.99,-- Other,CC except from Chapter 7 or 8.
,20.08,,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",
,,,"- Nuts, ground-nuts and other seeds, whether or not mixed together:",
,,2008.11,-- Ground-nuts,CC except from Chapter 12.
,,2008.19,"-- Other, including mixtures",CC except from Chapter 8.
,,2008.2,- Pineapples,CC except from Chapter 8.
,,2008.3,- Citrus fruit,CC except from Chapter 8.
,,2008.4,- Pears,CC except from Chapter 8.
,,2008.5,- Apricots,CC except from Chapter 8.
,,2008.6,- Cherries,CC except from Chapter 8.
,,2008.7,"- Peaches, including nectarines",CC except from Chapter 8.
,,2008.8,- Strawberries,CC except from Chapter 8.
,,,,
,,,"- Other, including mixtures other than those of subheading 2008.19:",
,,2008.91,-- Palm hearts,CC except from Chapter 8.
,,2008.92,-- Mixtures,CC except from Chapter 8.
,,2008.99,-- Other,CC except from Chapter 7 or 8.
,20.09,,"Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",
,,,- Orange juice:,
,,2009.11,-- Frozen,CC
,,2009.12,"-- Not frozen, of a Brix value not exceeding 20",CC
,,2009.19,-- Other,CC
,,,- Grapefruit (including pomelo) juice:,
,,2009.21,-- Of a Brix value not exceeding 20,CC
,,2009.29,-- Other,CC
,,,- Juice of any other single citrus fruit:,
,,2009.31,-- Of a Brix value not exceeding 20,CC
,,2009.39,-- Other,CC
,,,- Pineapple juice:,
,,2009.41,-- Of a Brix value not exceeding 20,CC except from Chapter 8.
,,2009.49,-- Other,CC except from Chapter 8.
,,2009.5,- Tomato juice,CC except from Chapter 7.
,,,- Grape juice (including grape must):,
,,2009.61,-- Of a Brix value not exceeding 30,CC
,,2009.69,-- Other,CC
,,,- Apple juice:,
,,2009.71,-- Of a Brix value not exceeding 20,CC
,,2009.79,-- Other,CC
,,2009.8,"- Juice of any other single fruit or
 vegetable",CC
,,2009.9,- Mixture of Juices,CC except from Chapter 7 or 8.
Chapter 21,,,Miscellaneous edible preparations,
,21.01,,"Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of these products or with a basis of coffee, tea or maté; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof.",
,,,"- Extracts, essences and concentrates of coffee, and preparations with a",
,,,,
,,,"basis of these extracts, essences or concentrates or with a basis of coffee:",
,,2101.11,"-- Extracts, essences and concentrates",CC
,,2101.12,"-- Preparations with a basis of extracts, essences or concentrates or with a basis of coffee",CC
,,2101.2,"- Extracts, essences and concentrates, of tea or maté, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or maté",CC
,,2101.3,"- Roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof",CC except from Chapter 10 or 19.
,21.02,,"Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading 30.02); prepared baking powders.",CC
,21.03,,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.,
,,2103.1,- Soya sauce,CC
,,2103.2,"- Tomato ketchup and other tomato
 sauces",CC except from Chapter 7 or 20.
,,2103.3,- Mustard flour and meal and prepared mustard,CC
,,2103.9,- Other,CC
,21.04,,Soups and broths and preparations therefor; homogenized composite food preparations.,CC
,21.05,2105,"Ice cream and other edible ice, whether or not containing cocoa.",CC
,21.06,,Food preparations not elsewhere specified or included.,
,,2106.1,- Protein concentrates and textured protein substances,CC
,,2106.9,- Other,LVC 40%
Chapter 22,,,"Beverages, spirits and vinegar",
,22.01,,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavored; ice and snow.",CC
,22.02,,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavored, and other non-alcoholic beverages, not including fruit or vegetable juices of heading 20.09.",
,,,,
,,2202.1,"- Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavored",CC
,,2202.9,- Other,LVC 40%
,22.03,2203,Beer made from malt.,CTH
,22.04,,"Wine of fresh grapes, including fortified wines;grape must other than that of heading 20.09.",CC
,22.05,,Vermouth and other wine of fresh grapes flavored with plants or aromatic substances.,CC
,22.06,2206,"Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",CC
,22.07,,"Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher; ethyl alcohol and other spirits, denatured, of any strength.",CC
,22.08,,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",
,,2208.2,- Spirits obtained by distilling grape wine or grape marc,LVC 40% or CC
,,2208.3,- Whiskies,LVC 40% or CC
,,2208.4,- Rum and other spirits obtained by distilling fermented sugarcane products,LVC 40% or CC
,,2208.5,- Gin and Geneva,LVC 40% or CC
,,2208.6,- Vodka,LVC 40% or CC
,,2208.7,- Liqueurs and cordials,LVC 40%or CC
,,2208.9,- Other,"LVC 40% and CTH for sake compound or cooking sake (Mirin).
 CC except from Chapter 8 or 20 for beverage with a basis of fruits, of an alcoholic strength by volume of less than 1 %. CTH except from heading 22.07 for any"
,,,,
,,,,other good.
,22.09,2209,Vinegar and substitutes for vinegar obtained from acetic acid.,CC
Chapter 23,,,Residues and waste from the food industries; prepared animal fodder,
,23.01,,"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, mollusks or other aquatic invertebrates, unfit for human consumption; greaves.",CTH
,23.02,,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants.",CTH
,23.03,,"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets.",CTH
,23.04,2304,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil.",CTH
,23.05,2305,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil.",CTH
,23.06,,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils, other than those of heading 23.04 or 23.05.",CTH
,23.07,2307,Wine lees; argol.,CTH
,23.08,2308,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",CTH
,23.09,,Preparations of a kind used in animal feeding.,LVC 40%
Chapter 24,,,"Tobacco and manufactured tobacco
 substitutes",
,24.01,,Unmanufactured tobacco; tobacco refuse.,
,,2401.1,"- Tobacco, not stemmed/stripped",CC
,,2401.2,"- Tobacco, partly or wholly stemmed/stripped",CC
,,2401.3,- Tobacco refuse,CTSH
,24.02,,"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes.",CTH
,24.03,,Other manufactured tobacco and manufactured tobacco substitutes; “homogenized” or “reconstituted” tobacco; tobacco extracts and essences.,CTH
Section V Mineral products (Chapter 25-27),,,,
Chapter 25,,,Salt; sulphur; earths and stone;,
,,,,
,,,,
,,,"plastering materials, lime and cement",
,25.01,2501,"Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water.",CC
,25.02,2502,Unroasted iron pyrites.,CC
,25.03,2503,"Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur.",CC
,25.04,,Natural graphite.,CC
,25.05,,"Natural sands of all kinds, whether or not colored, other than metalbearing sands of Chapter 26.",CC
,25.06,,"Quartz (other than natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",CC
,25.07,2507,"Kaolin and other kaolinic clays, whether or not calcined.",CC
,25.08,,"Other clays (not including expanded clays of heading 68.06), andalusite, kyanite and sillimanite, whetheror not calcined; mullite; chamotte or dinas earths.",CC
,25.09,2509,Chalk.,CC
,25.17,,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 25.15 or 25.16, whether or not heat-treated.",
,,2517.2,"- Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in
 subheading 2517.10",CC
,,2517.3,- Tarred macadam,CC
,,,"- Granules, chippings and powder, of stones of heading 25.15 or 25.16, whether or not heat-treatment:",
,,2517.41,-- Of marble,CC
,,2517.49,-- Other,CC
,25.18,,"Dolomite, whether or not calcined or sintered, including dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; dolomite ramming mix.",CC
,25.19,,"Natural magnesium carbonate
 (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure.",CC
,,,,
,25.2,,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate) whether or not colored, with or without small quantities of accelerators or retarders.",
,,2520.1,- Gypsum; anhydrite,CC
,,2520.2,- Plasters,CTSH
,25.21,2521,"Limestone flux; limestone and other calcareousstone, of a kind used for the manufacture of lime or cement.",CC
,25.24,,Asbestos.,CC
,25.25,,"Mica, including splittings; mica waste.",
,,2525.1,- Crude mica and mica rifted into sheets or splittings,CC
,,2525.2,- Mica powder,CC
,,2525.3,- Mica waste,WO
,25.26,,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc.",CC
,25.28,,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight.",CC
,25.29,,Feldspar; leucite; nepheline and nepheline syenite; fluorspar.,CC
,25.3,,Mineral substances not elsewhere specified or included.,CC
Chapter 26,,,"Ores, slag and ash",
,26.01,,"Iron ores and concentrates, including roasted iron pyrites.",CC
,26.02,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight.",CC
,26.03,2603,Copper ores and concentrates.,CC
,26.04,2604,Nickel ores and concentrates.,CC
,26.05,2605,Cobalt ores and concentrates.,CC
,26.06,2606,Aluminum ores and concentrates.,CC
,26.07,2607,Lead ores and concentrates.,CC
,26.08,2608,Zinc ores and concentrates.,CC
,26.09,2609,Tin ores and concentrates.,CC
,26.1,2610,Chromium ores and concentrates.,CC
,26.11,2611,Tungsten ores and concentrates.,CC
,26.12,,Uranium or thorium ores and concentrates.,CC
,26.13,,Molybdenum ores and concentrates.,CC
,26.14,2614,Titanium ores and concentrates.,CC
,26.15,,"Niobium, tantalum, vanadium or zirconium ores and concentrates.",CC
,26.16,,Precious metal ores and concentrates.,CC
,26.17,,Other ores and concentrates.,CC
,26.18,2618,Granulated slag (slag sand) from the manufacture of iron or steel.,WO
,,,,
,26.19,2619,"Slag, dross (other than granulated slag), scalings and other waste form the manufacture of iron or steel.",WO
,26.2,,"Slag, ash and residues (other than from the manufacture of iron or steel) containing metals, arsenic or their compounds.",WO
,26.21,,"Other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste.",WO
Chapter 27,,,"Mineral fuels, mineral oils and products of their distillation; bituminous
 substances; mineral waxes",
,27.01,,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal.",CC
,27.02,,"Lignite, whether or not agglomerated, excluding jet.",CC
,27.03,2703,"Peat (including peat litter), whether or not agglomerated.",CC
,27.04,2704,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon.",CC
,27.05,2705,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons.",CC
,27.06,2706,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars.",CC
,27.09,2709,"Petroleum oils and oils obtained from bituminous minerals, crude.",CC
,27.1,,"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils.",
,,,- Waste oils:,
,,2710.91,"-- Containing polychlorinated biphenyls
 (PCBs), polychlorinated terphenyls
 (PCTs) or polybrominated biphenyls (PBBs)",WO
,,2710.99,-- Other,WO
,27.11,,Petroleum gases and other gaseous hydrocarbons.,
,,,- Liquefied:,
,,2711.11,-- Natural gas,CC
,,,- In gaseous state:,
,,2711.21,-- Natural gas,CC
Section VI Products of the chemical or allied industries (Chapter 28-38),,,,
Chapter 28,,,,
,28.04,,,
,,,,
,,2804.61,,LVC 40% or CTSH
,,,,
,,,,
,,,99.99 % of silicon,
,,2804.69,-- Other,LVC 40% or CTSH
,28.44,,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixture and residues containing these products.,
,,2844.1,"- Natural uranium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing natural uranium or natural uranium compounds",CC
,,2844.2,"- Uranium enriched in U 235 and its compounds; plutonium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium enriched in U 235, plutonium or compounds of these products",CTSH
,,2844.3,"- Uranium depleted in U 235 and its compounds; thorium and its compounds; alloys, dispersions (including cermets), ceramic products and mixtures containing uranium depleted in U 235, thorium or compounds of these products",CTSH
,,2844.4,"- Radioactive elements and isotopes and compounds other than those of subheading 2844.10, 2844.20 or 2844.30; alloys, dispersions
 (including cermets), ceramic products and mixtures containing these elements, isotopes or compounds;
 radioactive residues",CTSH
,,2844.5,"- Spent (irradiated) fuel elements
 (cartridges) of nuclear reactors",CTSH
Chapter 29,,,Organic chemicals,
,29.01,,Acyclic hydrocarbons.,LVC 40% or CTSH
,29.02,,Cyclic hydrocarbons.,LVC 40% or CTSH
,29.03,,Halogenated derivatives of hydrocarbons.,LVC 40% or CTSH
