Tariff item number,,,Description of goods,Product specific rules
,16.04,,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs.,
,,,"- Fish, whole or in pieces, but not minced:",
,,1604.11,-- Salmon,CC except from chapter 3.
,,1604.12,-- Herrings,CC except from chapter 3.
,,1604.13,"-- Sardines, sardinella and brisling or sprats",CC
,,1604.14,"-- Tunas, skipjack and bonito (Sarda spp.)",CC except from chapter 3.
,,1604.15,-- Mackerel,CC except from chapter 3.
,,1604.16,-- Anchovies,CC except from chapter 3.
,,1604.19,-- Other,CC except from chapter 3.
,,,,
,,1604.2,- Other prepared or preserved fish,CC except from chapter 3.
,,1604.3,- Caviar and caviar substitutes,CC
,16.05,,"Crustaceans, molluscs and other aquatic invertebrates, prepared or
 preserved,",
,,1605.1,- Crab,CC except from chapter 3.
,,1605.2,- Shrimps and prawns,CC
,,1605.3,- Lobster,CC except from chapter 3.
,,1605.4,- Other crustaceans,CC
,,1605.9,- Other,CC except from chapter 3.
Chapter 17,,,Sugars and sugar confectionery,
,17.01,,"Cane or beet sugar and chemically pure sucrose, in solid form.",CC except from chapter 12.
,17.02,,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel.",
,,,- Lactose and lactose syrup:,
,,1702.11,"-- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",CC except from chapter 4.
,,1702.19,-- Other,CC except from chapter 4.
,,1702.2,- Maple sugar and maple syrup,CC
,,1702.3,"- Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose",CC except from chapter 11 or 12.
,,1702.4,"- Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose,
 excluding invert sugar",CC except from chapter 11 or 12.
,,1702.5,- Chemically pure fructose,CC except from chapter 11 or 12.
,,1702.6,"- Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar",CC except from chapter 11 or 12.
,,1702.9,"- Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by
 weight of fructose",CC
,17.03,,Molasses resulting from the extraction or refining of sugar.,CC except from chapter 12.
,,,,
,17.04,,"Sugar confectionery (including white chocolate), not containing cocoa.",
,,1704.1,"- Chewing gum, whether of not
 sugar-coated",RVC 40%
,,1704.9,- Other,CC
Chapter 18,,,Cocoa and cocoa preparations,
,18.01,1801,"Cocoa beans, whole or broken, raw or roasted.",CC
,18.02,1802,"Cocoa shells, husks, skins and other cocoa waste.",CC
,18.03,,"Cocoa paste, whether or not defatted.",CC
,18.04,1804,"Cocoa butter, fat and oil.",CTH
,18.05,1805,"Cocoa powder, not containing added sugar or other sweetening matter.",CC
,18.06,,Chocolate and other food preparations containing cocoa.,CC
Chapter 19,,,"Preparations of cereals, flour, starch or milk; pastrycooks’ products",
,19.01,,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of headings 04.01 to 04.04, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified of included.",CC
,19.02,,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagna, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.",CC
,19.03,1903,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.",CC except from chapter 11.
,19.04,,"Prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked or otherwise prepared, not elsewhere specified or included.",CC
,19.05,,"Bread, pastry, cakes, biscuits and other bakers’ wares, whether or not containing cocoa; communion wafers,",
,,,,
,,,"empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",
,,1905.1,- Crispbread,CC
,,1905.2,- Gingerbread and the like,CC
,,,- Sweet biscuits; waffles and wafers:,
,,1905.31,-- Sweet biscuits,CC
,,1905.32,-- Waffles and wafers,CC
,,1905.4,"- Rusks, toasted bread and similar toasted products",CC
,,1905.9,- Other,CC except from heading 11.05.
Chapter 20,,,"Preparations of vegetables, fruit, nuts or other parts of plants",
,20.01,,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid.",CC except from chapter 7 or 8.
,20.02,,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid.,CC except from chapter 7.
,20.03,,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid.",CC except from chapter 7.
,20.04,,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.",CC except from chapter 7.
,20.05,,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",CC except from chapter 7.
,20.06,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by
 sugar (drained, glacé or crystallised).",CC except from chapter 7 or 8.
,20.07,,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.",
,,2007.1,- Homogenised preparations,CC except from chapter 8.
,,,- Other,
,,2007.91,-- Citrus fruit,CC except from chapter 8.
,,2007.99,-- Other,CC except from chapter 7 or 8.
,20.08,,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or",
,,,,
,,,included.,
,,,"- Nuts, ground-nuts and other seeds, whether or not mixed together",
,,2008.11,-- Ground-nuts,CC except from chapter 12.
,,2008.19,"-- Other, including mixtures",CC except from chapter 8.
,,2008.2,- Pineapples,CC except from chapter 8.
,,2008.3,- Citrus fruit,CC except from chapter 8.
,,2008.4,- Pears,CC except from chapter 8.
,,2008.5,- Apricots,CC except from chapter 8.
,,2008.6,- Cherries,CC except from chapter 8.
,,2008.7,"- Peaches, including nectarines",CC except from chapter 8.
,,2008.8,- Strawberries,CC except from chapter 8.
,,,"- Other, including mixtures other than those of subheading 2008.19",
,,2008.91,-- Palm hearts,CC except from chapter 8.
,,2008.92,-- Mixtures,CC except from chapter 8.
,,2008.99,-- Other,"CC except from ume of subheading 0810.90 and 0812.90, or taro of subheading
 0714.90."
,20.09,,"Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",CC
Chapter 21,,,Miscellaneous edible preparations,
,21.01,,"Extracts, essences and concentrates, of coffee, tea or matéand preparations with a basis of these products or with a basis of coffee, tea or maté; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof.",
,,,"- Extracts, essences and concentrates of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of",
,,,,
,,,coffee:,
,,2101.11,"-- Extracts, essences and concentrates",CC
,,2101.12,"-- Preparations with a basis of extracts, essences or concentrates or with a basis of coffee",CC
,,2101.2,"- Extracts, essences and concentrates, of tea or maté, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or maté",CC
,,2101.3,"- Roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof",CC except from chapter 10 or 19.
,21.02,,"Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading 30.02); prepared baking powders.",CC
,21.03,,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.,
,,2103.1,- Soya sauce,CC
,,2103.2,- Tomato ketchup and other tomato sauces,CC except from chapter 7 or 20.
,,2103.3,- Mustard flour and meal and prepared mustard,CC
,,2103.9,- Other,CC
,21.04,,Soups and broths and preparations therefor; homogenized composite food preparations.,CC
,21.05,2105,"Ice cream and other edible ice, whether or not containing cocoa.",CC
,21.06,,Food preparations not elsewhere specified or included.,
,,2106.1,- Protein concentrates and textured protein substances,CC
,,2106.9,- Other,RVC 40%
Chapter 22,,,"Beverages, spirits and vinegar",
,22.01,,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow.",CC
,22.02,,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading 20.09.",
,,2202.1,"- Waters, including mineral waters and aerated waters, containing added",CC
,,,,
,,,sugar or other sweetening matter or flavoured:,
,,2202.9,- Other,RVC 40%
,22.03,2203,Beer made from malt.,CTH
,22.04,,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",CC
,22.05,,Vermouth and other wine of fresh grapes flavoured with plants or aromatic substances.,CC
,22.06,2206,"Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",CC
,22.07,,"Undenatured ethyl alcohol of an alcoholic strength by volume of 80% vol or higher; ethyl alcohol and other spirits, denatured, of any strength.",CC
,22.08,,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol; spirits, liqueurs and other spirituous beverages.",
,,2208.2,- Spirits obtained by distilling grape wine or grape marc,RVC 40% or CTH except from heading 22.07.
,,2208.3,- Whiskies,RVC 40% or CTH except from heading 22.07.
,,2208.4,- Rum and tafia,RVC 40% or CTH except from heading 22.07.
,,2208.5,- Gin and Geneva,RVC 40% or CTH except from heading 22.07.
,,2208.6,- Vodka,RVC 40% or CTH except from heading 22.07.
,,2208.7,- Liqueurs and cordials,RVC 40%or CTH except from heading 22.07.
,,2208.9,- Other,RVC 40% and CTH for sake compound or cooking sake
,,,,
,,,,"(Mirin). CC except from chapter 8 or 20 for beverage with a basis of fruits, of an alcoholic strength by volume of less than 1%). CTH except from heading 22.07 for any other good."
,22.09,2209,Vinegar and substitutes for vinegar obtained from acetic acid.,CC
Chapter 23,,,Residues and waste from the food industries; prepared animal fodder,
,23.01,,"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves.",CTH
,23.02,,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants.",CTH
,23.03,,"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets.",CTH
,23.04,2304,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil.",CTH
,23.05,2305,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil.",CTH
,23.06,,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils, other than those of heading 23.04 or 23.05.",CTH
,23.07,2307,Wine lees; argol.,CTH
,23.08,2308,"Vegetable materials and vegetable waste, vegetable residues and by-products, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or include.",CTH
,23.09,,Preparations of a kind used in animal feeding.,RVC 40%
Chapter 24,,,"Tobacco and manufactured tobacco
 substitutes",
,24.01,,Unmanufactured tobacco; tobacco refuse.,
,,,,
,,2401.1,"- Tobacco, not stemmed/stripped",CC
,,2401.2,"- Tobacco, partly or wholly
 stemmed/stripped",CC
,,2401.3,- Tobacco refuse,CTSH
,24.02,,"Cigars, cheroots, cigarillos and cigarettes, of tobacco or of tobacco substitutes.",CTH
,24.03,,Other manufactured tobacco and manufactured tobacco substitutes; “homogenised” or “reconstituted” tobacco; tobacco extracts and essences.,CTH
Section V Mineral products (chapter 25-27),,,,
Chapter 25,,,"Salt; sulphur; earths and stone; plastering materials, lime and cement",
,25.01,2501,"Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water.",CC
Section VI Products of the chemical or allied industries (chapter 28-38),,,,
Chapter 29,,,Organic chemicals,
,29.05,,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives.",
,,,- Other polyhydric alcohols:,
,,2905.44,-- D-glucitol (sorbitol),CTH except from heading 17.02.
,29.06,,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives.",
,,,"- Cyclanic, cyclenic or cycloterpenic:",
,,2906.11,-- Menthol,CC except from chapter 33.
,29.18,,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",
,,,"- Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives:",
,,2918.14,-- Citric acid,CC except from chapter 17 or 23.
,,2918.15,-- Salts and esters of citric acid,CC except from chapter 17 or 23.
,,,,
,29.4,2940,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than products of heading 29.37, 29.38 or 29.39.",CTH except from heading 17.02.
Chapter 35,,,"Albuminoidal substances; modified
 starches; glues; enzymes",
,35.02,,"Albumins (including concentrates of two or more whey proteins, containing by weight more than 80% whey proteins, calculated on the dry matter), albuminates and other albumin derivatives.",
,,,- Egg albumin:,
,,3502.11,-- Dried,CC except from chapter 4.
,,3502.19,-- Other,CC except from chapter 4.
,,3502.2,"- Milk albumin, including concentrates of two or more whey proteins",CTH
,,3502.9,- Other,CTH
,35.03,3503,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading 35.01.",CTH
,35.05,,"Dextrins and other modified starches
 (for example, pregelatinised or esterified starches); glues based on starches, or on dextrins or other modified starches.",CTH
Chapter 38,,,Miscellaneous chemical products,
,38.09,,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products and preparations (for example, dressings and mordants), of a kind used in the textile, paper, leather or like industries, not elsewhere specified or included.",
,,3809.1,- With a basis of amylaceous substances,CTH except from heading 11.08 or 35.05.
,38.24,,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not",
,,,,
,,,elsewhere specified or included.,
,,3824.6,"- Sorbitol other than that of
 subheading 2905.44",CTH except from heading 17.02.
"Section VIII Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut
 (other than silk-worm gut) (chapter 41-43)",,,,
Chapter 41,,,"Raw hides and skins(other than
 furskins) and leather",CC
Chapter 42,,,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",CC
Chapter 43,,,"Furskins and artificial fur;
 manufactures thereof",
,43.01,,"Raw furskins (including heads, tails, paws and other pieces or cuttings, suitable for furriers’ use), other than raw hides and skins of heading 41.01, 41.02 or 41.03.",CC
,43.02,,"Tanned or dressed furskins (including heads, tails, paws and other pieces or cuttings), unassembled, or assembled(without the addition of other materials) other than those of heading 43.03.",CC
,43.03,,"Articles of apparel, clothing accessories and other articles of furskin.",
,,4303.1,"- Articles of apparel and clothing
 accessories",CTH except from heading 43.02.
,,4303.9,- Other,CC
,43.04,4304,Artificial fur and articles thereof.,CC
"Section IX Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork (chapter 44-46)",,,,
Chapter 44,,,Wood and articles of wood; wood charcoal,
,44.01,,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms.",CTH
,44.02,4402,"Wood charcoal (including shell or nut charcoal), whether or not agglomerated.",CTH
,44.03,,"Wood in the rough, whether or not",CTH
,,,,
,,,"stripped of bark or sapwood, or roughly squared.",
,44.04,,"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking-sticks, umbrellas, tool handles or the like; chipwood and the like.",CTH
,44.05,4405,Wood wool; wood flour.,CTH
,44.06,,Railway or tramway sleepers (cross-ties) of wood.,CTH
,44.07,,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6mm.",CTH
,44.08,,"Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for other similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceeding 6mm.",CTH
,44.09,,"Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, moulded, rounded or the like) along any of its edges, ends or faces, whether or not planed, sanded or end-jointed.",CTH
,44.1,,"Particle board and similar board (for example, oriented strand board and waferboard) of wood or other ligneous materials, whether or not agglomerated with resins or other organic binding substances.",CTH
,44.11,,"Fibreboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances.",CTH
,44.12,,"Plywood, veneered panels and similar laminated wood.",CTH except from heading 44.07 or 44.08.
,44.13,4413,"Densified wood, in blocks, plates, strips or profile shapes.",CTH
,44.14,4414,"Wooden frames for paintings, photographs, mirrors or similar objects.",CTH
,44.15,,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box palletsandother load boards, of wood; pallet",CTH
,,,,
,,,collars of wood.,
,44.16,4416,"Casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves.",CTH
,44.17,4417,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe lasts and trees, of wood.",CTH
,44.18,,"Builders' joinery and carpentry ofwood, including cellular wood panels, assembled parquet panels, shingles and shakes.",CTH
,44.19,4419,"Tableware and kitchenware, of wood.",CTH
,44.2,,"Wood marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and similar articles, of wood; statuettes and other ornaments, of wood; wooden articles of furniture not falling in
 Chapter 94.",CTH
,44.21,,Other articles of wood.,CTH
Chapter 46,,,"Manufactures of straw, of esparto or of other plaiting materials; basketware
 and wickerwork",
,46.01,,"Plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel strands or woven, in sheet form, whether or not being finished articles (for example, mats, matting, screens).",
,,4601.2,"- Mats, matting and screens of vegetablematerials","CC except from igusa of subheading
 1401.90."
,,,- Other:,
,,4601.91,-- Of vegetable materials,"CC except from igusa of subheading
 1401.90."
Section XI Textiles and textile articles (chapter 50-63)Note: See the note to this section,,,,
Chapter 50,,,Silk,
,50.01,5001,Silk-worm cocoons suitable for reeling.,CC
,50.02,5002,Raw silk (not thrown).,CTH
,50.03,,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock).",CTH
,50.04,5004,Silk yarn (other than yarn spun from silk waste) not put up for retail sale.,CTH
,50.05,5005,"Yarn spun from silk waste, not put up",CTH except
,,,,
,,,for retail sale.,from heading 50.06.
,50.06,5006,"Silk yarn and yarn spun from silk waste, put up for retail sale; silk-worm gut.",CTH except from heading 50.05.
,50.07,,Woven fabrics of silk or of silk waste.,"CTH, provided that, where non- originating materials of heading 50.04 through 50.06 are used, each of the non- originating materials is spun, or dyed or printed entirely in one or more of the Parties; or
 No required CTC, provided that the good is dyed or printed entirely and that the nonoriginating material of heading 50.07 is woven entirely in one or more of the Parties."
Chapter 51,,,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",
,51.01,,"Wool, not carded or combed.",CC
,51.02,,"Fine or coarse animal hair, not carded or combed.",CC
,51.03,,"Waste of wool or of fine or coarse animal hair, including yarn waste but excluding garnetted stock.",CC
,51.04,5104,Garnetted stock of wool or of fine or coarse animal hair.,CC
,51.05,,"Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments).",CC
,51.06,,"Yarn of carded wool, not put up for retail sale.",CTH outside heading 51.06 through 51.10.
,51.07,,"Yarn of combed wool, not put up for retail sale.",
,,,,
,51.08,,"Yarn of fine animal hair (carded or combed), not put up for retail sale.",
,51.09,,"Yarn of wool or of fine animal hair, put up for retail sale.",
,51.1,5110,"Yarn of coarse animal hair or of horsehair (including gimped horsehair yarn), whether or not put up for retail sale.",
