Tier,ProductCode,Product Description
3,040291,"Concentrated milk and cream, unsweetened (excl."
3,040299,Sweetened milk and cream (excl. in solid form)
2,0403,"Buttermilk, curdled milk and cream, yogurt, etc"
3,040310,Yogurt
3,040390,"Buttermilk, curdled milk and cream, etc (excl."
2,0404,"Whey and other natural milk constituents, nes"
3,040410,"Whey & modified whey, concentrated or not, or c"
3,040490,Products consisting of natural milk constituent
2,0405,Butter and other fats and oils derived from mil
3,040500,Butter and other fats and oils derived from mil
2,0406,Cheese and curd
3,040610,"Fresh (unripened or uncured) cheese, including"
3,040620,Grated or powdered cheese
3,040630,"Processed cheese, not grated or powdered"
3,040640,Blue-veined cheese
3,040690,"Cheese, nes"
2,0407,"Birds' eggs, in shell, fresh, preserved or cook"
3,040700,"Birds' eggs, in shell, fresh, preserved or cook"
2,0408,"Birds' eggs, not in shell, and egg yolks"
3,040811,Dried egg yolks
3,040819,Egg yolks (excl. dried)
3,040891,"Dried birds' eggs, not in shell"
3,040899,"Birds' eggs, not in shell (excl. dried)"
2,0409,Natural honey
3,040900,Natural honey
2,0410,"Edible products of animal origin, nes"
3,041000,"Edible products of animal origin, nes"
1,05,"Products of animal origin, nes or  included."
2,0501,"Human hair and waste, unworked"
3,050100,"Human hair and waste, unworked"
2,0502,Pigs'... bristles; brush making hair; waste
3,050210,"Pigs', hogs', or boars' bristles or hair"
3,050290,Badger and other brush making hair
2,0503,Horsehair and waste
3,050300,Horsehair and waste
2,0504,"Guts, bladders and stomachs of animals (excl. f"
3,050400,"Guts, bladders and stomachs of animals (excl. f"
2,0505,"Skins and other parts of birds, feathers and do"
3,050510,Raw feathers for stuffing; down
3,050590,Skins and parts of birds (excl. feathers for st
2,0506,Bones and horn-cores
3,050610,Ossein and bones treated with acid
3,050690,Bones and horn-cores (excl. ossein...)
2,0507,"Ivory, tortoise-shell, whalebone and whalebone"
3,050710,"Ivory, its powder and waste, unworked"
3,050790,"Tortoise-shell, whalebone and whalebone-hair, e"
2,0508,"Coral; shells of molluscs, crustaceans, unworke"
3,050800,"Coral; shells of molluscs, crustaceans, unworke"
2,0509,Natural sponges of animal origin
3,050900,Natural sponges of animal origin
2,0510,"Ambergris, castoreum, civet and musk; cantharid"
3,051000,"Ambergris, castoreum, civet and musk; cantharid"
2,0511,"Animal products, nes; dead of Chapters 1 and 3,"
3,051110,Bovine semen
3,051191,"Products of fish, etc; dead animals of Chapter"
3,051199,"Animal products, nes; dead animals of Chapter 1"
1,06,"Live tree & other plant; bulb, root; cut  flowe"
2,0601,"Bulbs, tubers... rhizomes; chicory plants and r"
3,060110,"Dormant bulbs, tubers... rhizomes"
3,060120,"Bulbs, tubers... rhizomes in growth or flower;"
2,0602,"Other live plants, cuttings and slips, mushroom"
3,060210,Unrooted cuttings and slips
3,060220,"Trees,shrubs,bushes,grafted or not,of kinds whi"
3,060230,Rhododendrons and azaleas
3,060240,Roses
3,060291,Mushroom spawn
3,060299,"Other live plants, nes"
2,0603,Cut flowers and flower buds for ornamental purp
3,060310,Fresh cut flowers and buds
3,060390,"Dried, dyed, bleached or otherwise prepared cut"
2,0604,"Other parts of plants for ornamental purposes,"
3,060410,"Moses and lichens for ornamental purposes, fres"
3,060491,"Fresh parts of plants, without flowers or buds,"
3,060499,"Parts of plants, without flowers or buds, for o"
1,07,Edible vegetables and certain roots and  tubers
2,0701,"Potatoes, fresh or chilled"
3,070110,Seed potatoes
3,070190,"Other potatoes, fresh or chilled"
2,0702,"Tomatoes, fresh or chilled"
3,070200,"Tomatoes, fresh or chilled"
2,0703,"Onions, shallots, garlic, leeks...etc, fresh or"
3,070310,"Onions and shallots, fresh or chilled"
3,070320,"Garlic, fresh or chilled"
3,070390,"Leeks and other alliaceous vegetables, nes"
2,0704,"Cabbages, cauliflowers, kohlrabi, kale...etc, f"
3,070410,"Cauliflowers and headed broccoli, fresh or chil"
3,070420,"Brussels sprouts, fresh or chilled"
3,070490,"White and red cabbages, kohlrabi, kale...etc, f"
2,0705,"Lettuce and chicory, fresh or chilled"
3,070511,"Cabbage lettuce, fresh or chilled"
3,070519,"Lettuce, fresh or chilled, (excl. cabbage lettu"
3,070521,"Witloof chicory, fresh or chilled"
3,070529,"Chicory, fresh or chilled, (excl. witloof)"
2,0706,"Carrots, turnips, salad beetroot...etc, fresh o"
3,070610,"Carrots and turnips, fresh or chilled"
3,070690,Beetroot...radishes and other similar edible ro
2,0707,"Cucumbers and gherkins, fresh or chilled"
3,070700,"Cucumbers and gherkins, fresh or chilled"
2,0708,"Leguminous vegetables, shelled or unshelled, fr"
3,070810,"Peas, fresh or chilled"
3,070820,"Beans, fresh or chilled"
3,070890,"Leguminous vegetables, fresh or chilled, nes"
2,0709,"Other vegetables, fresh or chilled"
3,070910,"Globe artichokes, fresh or chilled"
3,070920,"Asparagus, fresh or chilled"
3,070930,"Aubergines, fresh or chilled"
3,070940,"Celery, fresh or chilled"
3,070951,"Mushrooms, fresh or chilled"
3,070952,"Truffles, fresh or chilled"
3,070960,"Fruits of genus Capiscum or Pimenta, fresh or c"
3,070970,"Spinach, fresh or chilled"
3,070990,"Other vegetables, fresh or chilled, nes"
2,0710,"Vegetables, frozen"
3,071010,"Potatoes, frozen"
3,071021,"Shelled or unshelled peas, frozen"
3,071022,"Shelled or unshelled beans, frozen"
3,071029,"Leguminous vegetables, shelled or unshelled, fr"
3,071030,"Spinach, frozen"
3,071040,"Sweet corn, frozen"
3,071080,"Vegetables, frozen, nes"
3,071090,"Mixtures of vegetables, frozen"
2,0711,"Vegetables provisionally preserved, not for imm"
3,071110,"Onions provisionally preserved, not for immedia"
3,071120,"Olives provisionally preserved, not for immedia"
3,071130,"Capers provisionally preserved, not for immedia"
3,071140,Cucumbers and gherkins provisionally preserved
3,071190,Other vegetables and  mixture of vegetables pro
2,0712,"Dried vegetables, whole, cut, sliced, broken or"
3,071210,Dried potatoes
3,071220,Dried onions
3,071230,Dried mushrooms and truffles
3,071290,"Dried vegetables, nes"
2,0713,"Dried leguminous vegetables, shelled"
3,071310,"Dried peas, shelled"
3,071320,"Dried chickpeas, shelled"
3,071331,"Dried beans, shelled"
3,071332,"Dried adzuki beans, shelled"
3,071333,"Dried kidney beans, incl. white pea beans, shel"
3,071339,"Dried beans, shelled, nes"
3,071340,"Dried lentils, shelled"
3,071350,"Dried broad beans and horse beans, shelled"
3,071390,"Dried leguminous vegetables, shelled, nes"
2,0714,"Roots and tubers with high starch content, fres"
3,071410,"Manioc, fresh or dried"
3,071420,"Sweet potatoes, fresh or dried"
3,071490,"Roots and tubers with high starch content, fres"
1,08,Edible fruit and nuts; peel of citrus  fruit or
2,0801,"Coconuts, Brazil nuts and cashew nuts, fresh or"
3,080110,"Coconuts, fresh or dried"
3,080120,"Brazil nuts, fresh or dried"
3,080130,"Cashew nuts, fresh or dried"
2,0802,"Other nuts, fresh or dried, nes"
3,080211,"Almonds in shell, fresh or dried"
3,080212,"Almonds without shells, fresh or dried"
3,080221,"Hazlenuts in shell, fresh or dried"
3,080222,"Hazlenuts without shells, fresh or dried"
3,080231,"Walnuts in shell, fresh or dried"
3,080232,"Walnuts without shells, fresh or dried"
3,080240,"Chestnuts, fresh or dried"
3,080250,"Pistachio, fresh or dried"
3,080290,"Other nuts, fresh or dried, nes"
2,0803,"Bananas, including plantains, fresh or dried"
3,080300,"Bananas, including plantains, fresh or dried"
2,0804,"Dates, figs, pineapples...etc, fresh or dried"
3,080410,"Dates, fresh or dried"
3,080420,"Figs, fresh or dried"
3,080430,"Pineapples, fresh or dried"
3,080440,"Avocados, fresh or dried"
3,080450,"Guavas, mangoes and mangosteens, fresh or dried"
2,0805,"Citrus fruit, fresh or dried"
3,080510,"Oranges, fresh or dried"
3,080520,"Mandarins, clementines, wilkings...etc, fresh o"
3,080530,"Lemons and limes, fresh or dried"
3,080540,"Grapefruit, fresh or dried"
3,080590,"Citrus fruit, fresh or dried, nes"
2,0806,"Grapes, fresh or dried"
3,080610,Fresh grapes
3,080620,Dried grapes
2,0807,"Melons and papaws, fresh"
3,080710,"Melons and watermelons, fresh"
3,080720,"Papaws (papayas), fresh"
2,0808,"Apples, pears and quinces, fresh"
3,080810,"Apples, fresh"
3,080820,"Pears and quinces, fresh"
2,0809,"Apricots, cherries, peaches, plums and sloes, f"
3,080910,"Apricots, fresh"
3,080920,"Cherries, fresh"
3,080930,"Peaches, including nectarines, fresh"
3,080940,"Plums and sloes, fresh"
2,0810,"Other fruit, fresh, nes"
3,081010,"Strawberries, fresh"
3,081020,"Raspberries, blackberries, mulberries and logan"
3,081030,"Black, white or red currants and gooseberries,"
3,081040,"Cranberries, milberries...etc, fresh"
3,081090,"Other fruit, fresh, nes"
2,0811,"Fruit and nuts, frozen"
3,081110,"Strawberries, frozen"
3,081120,"Raspberries, blackberries...etc, frozen"
3,081190,"Other fruit and nuts, frozen, nes"
2,0812,"Fruit and nuts,provisionally preserved, not for"
3,081210,"Cherries, provisionally preserved, not for imme"
3,081220,"Strawberries, provisionally preserved, not for"
3,081290,"Fruit and nuts, provisionally preserved, not fo"
2,0813,"Fruit, dried, nes"
3,081310,Dried apricots
3,081320,Dried prunes
3,081330,Dried apples
3,081340,"Other dried fruit, nes"
3,081350,"Mixtures of dried fruit and nuts, nes"
2,0814,"Peel of citrus fruit or melons, fresh, frozen,"
3,081400,"Peel of citrus fruit or melons, fresh, frozen,"
1,09,"Coffee, tea, matï and spices."
2,0901,Coffee; coffee husks and skins; coffee substitu
3,090111,"Coffee, not roasted or decaffeinated"
3,090112,"Decaffeinated coffee, not roasted"
3,090121,"Roasted coffee, not decaffeinated"
3,090122,"Roasted, decaffeinated coffee"
3,090130,Coffee husks and skins
3,090140,Coffee substitutes containing coffee
2,0902,"Tea, whether or not flavoured"
3,090210,Green tea in immediate packings
3,090220,"Green tea, nes"
3,090230,Black tea (fermented) and partly fermented tea
3,090240,"Black tea (fermented) and partly fermented tea,"
2,0903,Mate
3,090300,Mate
2,0904,"Pepper of the genus Piper, Capiscum or Pimenta,"
3,090411,Dried pepper (excl. crushed or ground)
3,090412,"Pepper, crushed or ground"
3,090420,"Fruits of genus Capiscum or Pimenta, dried, cru"
2,0905,Vanilla
3,090500,Vanilla
2,0906,Cinnamon and cinnamon-tree flowers
3,090610,"Cinnamon and cinnamon-tree flowers, neither cru"
3,090620,"Cinnamon and cinnamon-tree flowers, crushed or"
2,0907,Cloves
3,090700,"Cloves (whole fruit, cloves and stems)"
2,0908,"Nutmeg, mace and cardamoms"
3,090810,Nutmeg
3,090820,Mace
3,090830,Cardamoms
2,0909,"Seeds of anise,badian,fennel,coriander,cumin or"
3,090910,Seeds of anise or badian
3,090920,Seeds of coriander
3,090930,Seeds of cumin
3,090940,Seeds of caraway
3,090950,Seeds of fennel; juniper berries
2,0910,"Ginger, saffron, turmeric (curcuma)...curry and"
3,091010,Ginger
3,091020,Saffron
3,091030,Turmeric (curcuma)
3,091040,"Thyme, bay leaves"
3,091050,Curry
3,091091,Spice mixtures
3,091099,"Other spices, nes"
1,10,Cereals
2,1001,Wheat and meslin
3,100110,Durum wheat
3,100190,"Spelt, common wheat and meslin"
2,1002,Rye
3,100200,Rye
2,1003,Barley
3,100300,Barley
2,1004,Oats
3,100400,Oats
2,1005,Maize (corn)
3,100510,Maize seed
3,100590,Maize (excl. seed)
2,1006,Rice
3,100610,Rice in the husk (paddy or rough)
3,100620,Husked (brown) rice
3,100630,Semi-milled or wholly milled rice
3,100640,Broken rice
2,1007,Grain sorghum
3,100700,Grain sorghum
2,1008,"Buckwheat, millet and canary seed and other cer"
3,100810,Buckwheat
3,100820,Millet
3,100830,Canary seed
3,100890,"Other cereal, nes"
1,11,Prod.mill.indust; malt; starches;  inulin; whea
2,1101,Wheat or meslin flour
3,110100,Wheat or meslin flour
2,1102,"Cereal flours, (excl. wheat or meslin)"
3,110210,Rye flour
3,110220,Maize (corn) flour
3,110230,Rice flour
3,110290,"Other cereal flour, nes"
2,1103,"Cereal groats, meal and pellets"
3,110311,Groats and meal of wheat
3,110312,Groats and meal of oats
3,110313,Groats and meal of maize (corn)
3,110314,Groats and meal of rice
3,110319,"Groats and meal of other cereals, nes"
3,110321,Wheat pellets
3,110329,Pellets of other cereals (excl. wheat)
2,1104,Cereal grains otherwise worked (excl. rice); ge
3,110411,Rolled or flaked barley grains
3,110412,Rolled or flaked oat grains
3,110419,"Rolled or flaked grains of other cereals, nes"
3,110421,"Other worked grains of barley, nes"
3,110422,"Other worked grains of oats, nes"
3,110423,"Other worked grains of maize (corn), nes"
3,110429,"Other worked grains of other cereals, nes"
3,110430,"Cereal germ, whole, rolled, flaked or ground"
2,1105,"Flour, meal, flakes, granules and pellets of po"
3,110510,Potato flour and meal
3,110520,"Potato flakes, granules and pellets"
2,1106,Flour and meal of the dried leguminous vegetabl
3,110610,Flour and meal of the dried leguminous vegetabl
3,110620,"Flour and meal of sago, roots or tubers of 0714"
3,110630,"Flour, meal and powder of products of Chapter 8"
2,1107,Malt
3,110710,Malt not roasted
3,110720,Roasted malt
2,1108,Starches and inulin
3,110811,Wheat starch
3,110812,Maize (corn) starch
3,110813,Potato starch
3,110814,Manioc (cassava) starch
3,110819,"Other starches, nes"
3,110820,Inulin
2,1109,Wheat gluten
3,110900,Wheat gluten
1,12,"Oil seed, oleagi fruits; miscell grain,  seed,"
2,1201,Soya beans
3,120100,Soya beans
2,1202,"Ground-nuts, not roasted or otherwise cooked"
3,120210,"Ground-nuts in shell, not roasted or otherwise"
3,120220,"Shelled ground-nuts, not roasted or otherwise c"
2,1203,Copra
3,120300,Copra
2,1204,Linseed
3,120400,Linseed
2,1205,Rape or colza seeds
3,120500,Rape or colza seeds
2,1206,Sunflower seeds
3,120600,Sunflower seeds
2,1207,Other oil seeds and oleaginous fruits
3,120710,Palm nuts and kernels
3,120720,Cotton seeds
3,120730,Castor oil seeds
3,120740,Sesamum seeds
3,120750,Mustard seeds
3,120760,Safflower seeds
3,120791,Poppy seeds
3,120792,Shea nuts (karite nuts)
3,120799,"Other oil seeds and oleaginous fruits, nes"
2,1208,Flours and meals of oil seeds or oleaginous fru
3,120810,Soya bean flour and meal
3,120890,Other flours and meal of oil seeds or oleaginou
2,1209,"Seeds, fruits and spores, of a kind used for so"
3,120911,"Sugar beet seed, of a kind used for sowing"
3,120919,"Beet seed, of a kind used for sowing, (excl. su"
3,120921,"Lucerne (alfalfa) seed, of a kind used for sowi"
3,120922,"Clover seed, of a kind used for sowing"
3,120923,"Fescue seed, of a kind used for sowing"
3,120924,"Kentucky blue grass seed, of a kind used for so"
3,120925,"Rye grass seed, of a kind used for sowing"
3,120926,"Timothy grass seed, of a kind used for sowing"
3,120929,"Other seeds of forage plants, of a kind used fo"
3,120930,"Seeds of herbaceous plants, of a kind used for"
3,120991,"Vegetable seed, of a kind used for sowing"
3,120999,"Other seeds, fruit and spores, of a kind used f"
2,1210,"Hop cones and lupulin, fresh or dried"
3,121010,"Hop cones (excl. ground, powdered or pellets),"
3,121020,"Hop cones, ground, powdered or in pellets; lupu"
2,1211,"Plants and parts of plants, of a kind used in p"
3,121110,"Liquorice roots, of a kind used in perfumery, p"
3,121120,"Ginseng roots, of a kind used in perfumery, pha"
3,121190,"Other plants or parts, of a kind used in perfum"
2,1212,"Seaweeds, algae, sugar beet and cane; vegetable"
3,121210,"Locust beans (incl. locust bean seeds), fresh o"
3,121220,Seaweeds and other algae used for human consump
3,121230,"Apricot, peach or plum stones and kernels used"
3,121291,"Sugar beet, fresh or dried"
3,121292,"Sugar cane, fresh or dried"
3,121299,Vegetable products used primarily for human con
2,1213,Cereal straw and husks
3,121300,Cereal straw and husks
2,1214,"Swedes, mangolds...and similar forage products"
3,121410,Lucerne (alfalfa) meal and pellets
3,121490,"Other forage products, nes"
1,13,"Lac; gums, resins & other vegetable saps  & ext"
2,1301,"Lac; natural gums, resins, gum-resins, and bals"
3,130110,Lac
3,130120,Natural Gum Arabic
3,130190,"Natural gums, resins, gum-resins and balsams (e"
2,1302,Vegetable saps and extracts derived from vegeta
3,130211,Opium
3,130212,Liquorice sap and extract
3,130213,Hop extract
3,130214,Sap and extract of pryrethrum and roots of plan
3,130219,"Other vegetable saps and extracts, nes"
3,130220,"Pectic substances, pectinates and pectates"
3,130231,Agar-agar
3,130232,"Mucilages and thickeners of locust beans, bean"
3,130239,"Mucilages and thickeners, derived from vegetabl"
1,14,Vegetable plaiting materials; vegetable  produc
2,1401,Vegetable materials of a kind used primarily fo
3,140110,Bamboos
3,140120,Rattans
3,140190,"Vegetable materials for plaiting, (excl. bamboo"
2,1402,Vegetable materials used primarily as stuffing
3,140210,Kapok
3,140291,Vegetable hair
3,140299,"Vegetable materials for stuffing or padding, ne"
2,1403,Vegetable materials used primarily in brooms or
3,140310,Broomcorn
3,140390,Vegetable materials primarily for brooms or bru
2,1404,Vegetable products not elsewhere specified or i
3,140410,Raw vegetable materials primarily for dyeing or
3,140420,Cotton linters
3,140490,"Vegetable products, nes"
1,15,Animal/veg fats & oils & their cleavage  produc
2,1501,"Lard, other pig fat and poultry fat, rendered"
3,150100,"Lard, other pig fat and poultry fat, rendered"
2,1502,"Fats of bovine animals, sheep or goats, raw or"
3,150200,"Fats of bovine animals, sheep or goats, raw or"
2,1503,"Lard stearin, lardoil, oleostearin, oleo-oil an"
3,150300,"Lard stearin, lardoil, oleostearin, oleo-oil an"
2,1504,"Fats and oils and their fractions, of fish or m"
3,150410,Fish-liver oils and their fractions
3,150420,"Fish fats, oils and fractions (excl. fish liver"
3,150430,"Marine mammal fats, oils and their liquid fract"
2,1505,Wool grease and fatty substances derived theref
3,150510,Crude wool grease
3,150590,Fatty substances of crude wool grease (incl. la
2,1506,Other animal fats and oils and their fractions
3,150600,Other animal fats and oils and their fractions
2,1507,Soya-bean oil and its fractions
3,150710,Crude soya-bean oil
3,150790,Soya-bean oil (excl. crude) and fractions
2,1508,Ground-nut oil and its fractions
3,150810,Crude ground-nut oil
3,150890,Ground-nut oil (excl. crude) and fractions
2,1509,Olive oil and its fractions
3,150910,Virgin olive oil and fractions
3,150990,Olive oil and fractions (excl. virgin)
2,1510,"Other oils and their fractions, obtained solely"
3,151000,"Other oils and their fractions, obtained solely"
2,1511,Palm oil and its fractions
3,151110,Crude palm oil
3,151190,Palm oil (excl. crude) and liquid fractions
2,1512,"Sunflower-seed, safflower or cotton-seed oil an"
3,151211,Crude sunflower-seed and safflower oil and frac
3,151219,Sunflower-seed and safflower oil (excl. crude)
3,151221,"Crude cotton-seed oil, whether or not gossypol"
3,151229,Cotton-seed oil (excl. crude) and fractions the
2,1513,"Coconut (copra), palm kernel or babassu oil and"
3,151311,Crude coconut (copra) oil and fractions thereof
3,151319,Coconut copra oil (excl. crude) and fractions t
3,151321,Crude palm kernel or babassu oil and fractions
3,151329,Palm kernel or babassu oil (excl. crude) and fr
2,1514,"Rape, colza or mustard oil and fractions thereo"
3,151410,"Crude rape, colza or mustard oil and fractions"
3,151490,"Rape, colza or mustard oil (excl. crude) and fr"
2,1515,Other fixed vegetable fats and oils (incl. jojo
3,151511,Crude linseed oil
3,151519,Linseed oil (excl. crude) and fractions
3,151521,Crude maize (corn) oil
3,151529,Maize (corn) oil (excl. crude) and fractions
3,151530,Castor oil and its fractions
3,151540,Tung oil and its fractions
3,151550,Sesame oil and fractions
3,151560,Jojoba oil and fractions
3,151590,"Other fixed vegetable fats and fractions, nes"
2,1516,Animal or vegetable fats and oils and fractions
